site,city,lat,lng,elevation_ft,elevation_m
footslope,fairbanks,64.865524,-147.8437,577,175.861018
low backslope,fairbanks,64.864105,-147.84378,571,174.0323072
backslope,fairbanks,64.86369,-147.84386,587,178.9088692
