"site_col","ID","W","formula","presence","slopepos","cover_type","plot","mid_cm","max_reps","formulareps","include"
"Y1","08","H2O","C9H8O2S3",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H12O5S1",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C10H12O7",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C11H16O6",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C12H20O5",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C13H24O4",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C12H24O3N2",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C14H28O3",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C10H14O7",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C11H18O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H18O5N2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H22O5",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C12H8O6",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C13H12O5",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C14H16O4",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C15H20O3",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C16H24O2",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C12H10O6",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C13H14O5",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C14H18O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H22O3",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H21O3N1",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C5H4O6N2S2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C11H8O7",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C12H12O6",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C13H16O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H20O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H24O3",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C11H10O7",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C12H14O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H18O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H22O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H30O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C11H12O7",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C12H16O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H20O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H24O4",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C15H28O3",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C16H32O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H4O4N1P1",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H10O2S3",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H10O8",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C11H14O7",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C12H18O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H22O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H26O4",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C11H16O7",1,"footslope","Open","B",34,3,6,TRUE
