Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Y1_08_H2O,Y1_09_H2O,Y1_10_H2O,Y1_13_H2O,Y1_14_H2O,Y1_15_H2O,Y1_18_H2O,Y1_19_H2O,Y1_20_H2O,Y1_23_H2O,Y1_24_H2O,Y1_25_H2O,Y1_28_H2O,Y1_29_H2O,Y1_30_H2O,Y1_33_H2O,Y1_34_H2O,Y1_35_H2O,Y1_37_H2O,Y1_39_H2O,Y1_40_H2O,Y1_41_H2O,Y1_43_H2O,Y1_44_H2O,Y1_45_H2O,Y1_47_H2O,Y1_48_H2O,Y1_49_H2O,Y1_52_H2O,Y1_53_H2O,Y1_55_H2O,Y1_58_H2O,Y1_61_H2O,Y1_65_H2O,Y1_70_H2O,Y1_71_H2O,Y1_72_H2O,Y1_73_H2O,Y1_77_H2O,Y1_78_H2O,Y1_03_H2O,Y1_04_H2O
103.946508,0,0,0,0,0,0,0,0,,None,104.95378446688,0,0,0,0,0,0,0,0,0,0,0,0,1082295.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.947478,0,0,0,0,0,0,0,0,,None,104.95475446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075111.4,0,0,0,0
103.961886,0,0,0,0,0,0,0,0,,None,104.96916246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139192.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.137528,0,0,0,0,0,0,0,0,,None,105.14480446688,0,0,1156895.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.137600833333,0,0,0,0,0,0,0,0,,None,105.144877300213,0,0,0,0,0,0,0,0,0,1422515,1659487.3,1936389.6,0,0,0,0,0,0,1511255.3,0,0,0,0,1427012.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878998.4,0
104.153362,0,0,0,0,0,0,0,0,,None,105.16063846688,0,0,0,0,0,0,0,0,0,0,0,1028325.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.212662,0,0,0,0,0,0,0,0,,None,105.21993846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030723.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.220819,0,0,0,0,0,0,0,0,,None,105.22809546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041499.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.222582,0,0,0,0,0,0,0,0,,None,105.22985846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174330.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.355349,0,0,0,0,0,0,0,0,,None,105.36262546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092698.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
