"slopepos.x","covertype","rep","morph.x","mineral","mean"
"footslope","canopy","C","Bg3","microcline",5.7
"footslope","canopy","C","Bg3","quartz",44.5
"footslope","open","A","Bg1","albite",14
"footslope","open","A","Bg1","ankerite",0.852
"footslope","open","A","Bg1","anorthite",14
"footslope","open","A","Bg1","chlorite",6.02
"footslope","open","A","Bg1","hornblende",5.43
"footslope","open","A","Bg1","mica",12.6
"footslope","open","A","Bg1","microcline",2
"footslope","open","A","Bg1","quartz",45.1
"footslope","open","A","Bg2","albite",13.1
"footslope","open","A","Bg2","ankerite",0.216
"footslope","open","A","Bg2","anorthite",14.9
"footslope","open","A","Bg2","chlorite",7.66
"footslope","open","A","Bg2","hornblende",3.29
"footslope","open","A","Bg2","mica",15.5
"footslope","open","A","Bg2","microcline",5.76
"footslope","open","A","Bg2","quartz",39.6
"footslope","open","B","Bg1","albite",12.1
"footslope","open","B","Bg1","ankerite",0.006
"footslope","open","B","Bg1","anorthite",13.6
"footslope","open","B","Bg1","chlorite",9.73
"footslope","open","B","Bg1","hornblende",3.82
"footslope","open","B","Bg1","mica",19.1
"footslope","open","B","Bg1","microcline",5.64
"footslope","open","B","Bg1","quartz",36.1
"footslope","open","B","Bg2","albite",13.9
"footslope","open","B","Bg2","ankerite",0.624
"footslope","open","B","Bg2","anorthite",15.4
"footslope","open","B","Bg2","chlorite",5.8
"footslope","open","B","Bg2","hornblende",3.53
"footslope","open","B","Bg2","mica",11.1
"footslope","open","B","Bg2","microcline",5.98
"footslope","open","B","Bg2","quartz",43.7
"footslope","open","B","OeBg","albite",12.7
"footslope","open","B","OeBg","ankerite",0.099
"footslope","open","B","OeBg","anorthite",14.5
"footslope","open","B","OeBg","chlorite",7.9
"footslope","open","B","OeBg","hornblende",3.62
"footslope","open","B","OeBg","mica",16.2
"footslope","open","B","OeBg","microcline",6.81
"footslope","open","B","OeBg","quartz",38.2
"footslope","open","C","Bg1","albite",14.9
"footslope","open","C","Bg1","ankerite",0.115
"footslope","open","C","Bg1","anorthite",14.3
"footslope","open","C","Bg1","chlorite",7.3
"footslope","open","C","Bg1","hornblende",3.5
"footslope","open","C","Bg1","mica",14.5
"footslope","open","C","Bg1","microcline",6.15
"footslope","open","C","Bg1","quartz",39.2
"footslope","open","C","Bg2","albite",15.5
"footslope","open","C","Bg2","ankerite",0.637
"footslope","open","C","Bg2","anorthite",15.1
"footslope","open","C","Bg2","chlorite",4.14
"footslope","open","C","Bg2","hornblende",4.34
"footslope","open","C","Bg2","mica",11.5
"footslope","open","C","Bg2","microcline",1.08
"footslope","open","C","Bg2","quartz",47.7
"footslope","open","C","Bg3","albite",15.5
"footslope","open","C","Bg3","ankerite",0.19
"footslope","open","C","Bg3","anorthite",19.1
"footslope","open","C","Bg3","chlorite",5.3
"footslope","open","C","Bg3","hornblende",1.81
"footslope","open","C","Bg3","mica",11.3
"footslope","open","C","Bg3","microcline",6.09
"footslope","open","C","Bg3","quartz",40.7
"low_backslope","canopy","A","A","albite",13.7
"low_backslope","canopy","A","A","ankerite",0.736
"low_backslope","canopy","A","A","anorthite",14.8
"low_backslope","canopy","A","A","chlorite",6.11
"low_backslope","canopy","A","A","hornblende",3.31
"low_backslope","canopy","A","A","mica",8.34
"low_backslope","canopy","A","A","microcline",6.2
"low_backslope","canopy","A","A","quartz",46.8
"low_backslope","canopy","A","Bg1","albite",14.9
"low_backslope","canopy","A","Bg1","ankerite",0.54
"low_backslope","canopy","A","Bg1","anorthite",20.6
"low_backslope","canopy","A","Bg1","chlorite",4.69
