"cover_type","Class","backslope","low backslope","footslope"
"closed","aliphatic","38.79 ± 2.56 a","31.07 ± 1.64 ab","29.64 ± 0.95 b"
"closed","unsaturated/lignin","52.85 ± 2.32 a","57.17 ± 2.05 a","60.15 ± 0.64 a"
"closed","aromatic","3.44 ± 1.48 a","7.17 ± 0.45 a","6.92 ± 0.58 a"
"closed","condensed aromatic","4.92 ± 1.28 a","4.6 ± 0.25 a","3.29 ± 0.24 a"
"open","aliphatic","35.08 ± 3.05 a","34.58 ± 4.1 a","27.95 ± 1.95 a"
"open","unsaturated/lignin","52.62 ± 1.69 b","57.56 ± 3.44 ab","64.31 ± 0.78 a"
"open","aromatic","2.2 ± 0.83 a","4.03 ± 0.69 a","4.41 ± 1.38 a"
"open","condensed aromatic","10.1 ± 0.75 a","3.84 ± 0.14 b","3.33 ± 0.24 b"
