"cover_type","Class","Backslope","Low Backslope","Footslope"
"Canopy","aliphatic","38.79 ± 2.56 *","30.32 ± 2.38 *","27.98 ± 0.78 *"
"Canopy","aromatic","3.44 ± 1.48","6.37 ± 1.06","6.26 ± 0.89"
"Canopy","condensed aromatic","4.92 ± 1.28","4.35 ± 0.28","2.83 ± 0.3"
"Canopy","unsaturated/lignin","52.85 ± 2.32 *","58.96 ± 3.02 *","62.93 ± 0.61 *"
