"slopepos","covertype","morph","mineral","mean","se","value"
"low_backslope","open","Bg1","ankerite",0.4,0.2,"0.4 ± 0.2"
"low_backslope","open","Bg1","anorthite",14.6,0.4,"14.6 ± 0.4"
"low_backslope","open","Bg1","chlorite",6.3,0.5,"6.3 ± 0.5"
"low_backslope","open","Bg1","hornblende",4.4,0.3,"4.4 ± 0.3"
"low_backslope","open","Bg1","mica",10.4,0.3,"10.4 ± 0.3"
"low_backslope","open","Bg1","microcline",7.2,0.3,"7.2 ± 0.3"
"low_backslope","open","Bg1","quartz",42.1,0.3,"42.1 ± 0.3"
"low_backslope","open","Bg2","albite",14.9,0.3,"14.9 ± 0.3"
"low_backslope","open","Bg2","ankerite",0.5,0.1,"0.5 ± 0.1"
"low_backslope","open","Bg2","anorthite",17.1,0.4,"17.1 ± 0.4"
"low_backslope","open","Bg2","chlorite",6,0.6,"6 ± 0.6"
"low_backslope","open","Bg2","hornblende",5.2,0.1,"5.2 ± 0.1"
"low_backslope","open","Bg2","mica",9.8,0.7,"9.8 ± 0.7"
"low_backslope","open","Bg2","microcline",4.3,1.6,"4.3 ± 1.6"
"low_backslope","open","Bg2","quartz",42.2,1.9,"42.2 ± 1.9"
"low_backslope","open","Bg3","albite",14.7,0.3,"14.7 ± 0.3"
"low_backslope","open","Bg3","ankerite",0.7,0.2,"0.7 ± 0.2"
"low_backslope","open","Bg3","anorthite",19,0.1,"19 ± 0.1"
"low_backslope","open","Bg3","chlorite",6.4,0.1,"6.4 ± 0.1"
"low_backslope","open","Bg3","hornblende",4.5,0.6,"4.5 ± 0.6"
"low_backslope","open","Bg3","mica",10.1,0.3,"10.1 ± 0.3"
"low_backslope","open","Bg3","microcline",2.5,1,"2.5 ± 1"
"low_backslope","open","Bg3","quartz",42.1,1.3,"42.1 ± 1.3"
