horizon,id,slopepos,cover_type,top,bottom,hue,value ,chroma,cryoturbation,charcoal,oxidation,ice_lens
Oi,Y1-1-O-A,footslope,open,0,32,,,,,,,
Oe,Y1-1-O-A,footslope,open,32,42,,,,,,,
Bg1,Y1-1-O-A,footslope,open,42,48,,,,,,,
Bg2,Y1-1-O-A,footslope,open,49,54,,,,y,,,
Bg3,Y1-1-O-A,footslope,open,54,58,,,,y,,,
Oi,Y1-1-O-B,footslope,open,0,25,,,,,,,
Oe,Y1-1-O-B,footslope,open,25,33,,,,,,,
Oe/Bg,Y1-1-O-B,footslope,open,33,35,,,,,y,,
Bg1,Y1-1-O-B,footslope,open,35,39,,,,y,,,
Bg2,Y1-1-O-B,footslope,open,39,44,,,,y,y,,y
Oi,Y1-1-O-C,footslope,open,0,25,,,,,,,
Oe,Y1-1-O-C,footslope,open,25,33,,,,,,,
Bg1,Y1-1-O-C,footslope,open,33,45,,,,,,,
Bg2,Y1-1-O-C,footslope,open,45,50,,,,,,,
Bg3,Y1-1-O-C,footslope,open,50,54,,,,,,y,
Oi,Y1-1-C-A,footslope,canopy,0,23,,,,,,,
Oe,Y1-1-C-A,footslope,canopy,23,29,,,,,,,
Bg1,Y1-1-C-A,footslope,canopy,29,38,,,,,,,
Bg2,Y1-1-C-A,footslope,canopy,38,43,,,,y,,,
Bg3,Y1-1-C-A,footslope,canopy,43,48,,,,y,,,y
Oi,Y1-1-C-B,footslope,canopy,0,20,,,,,,,
Oe,Y1-1-C-B,footslope,canopy,20,25,,,,,,,
Bg1,Y1-1-C-B,footslope,canopy,25,39,,,,,,,
Bg2,Y1-1-C-B,footslope,canopy,39,43,,,,,,,
Bg3,Y1-1-C-B,footslope,canopy,43,48,,,,,,,
Oi,Y1-1-C-C,footslope,canopy,0,24,,,,,,,
Oe,Y1-1-C-C,footslope,canopy,24,29,,,,,,,
Bg1,Y1-1-C-C,footslope,canopy,29,35,,,,,,,
Bg2,Y1-1-C-C,footslope,canopy,35,40,,,,,,,y
Bg3,Y1-1-C-C,footslope,canopy,40,45,,,,,,,
Oi,Y1-2-C-A,low_backslope,canopy,0,24,,,,,,,
Oe/Oa,Y1-2-C-A,low_backslope,canopy,24,29,,,,,,,
A,Y1-2-C-A,low_backslope,canopy,29,35,,,,,,,
Bg1,Y1-2-C-A,low_backslope,canopy,35,40,,,,,,,
Bg2,Y1-2-C-A,low_backslope,canopy,40,45,,,,,,,
Oi,Y1-2-C-B,low_backslope,canopy,0,19,,,,,,,
Bg,Y1-2-C-B,low_backslope,canopy,19,44,,,,,,,
Oi,Y1-2-C-C,low_backslope,canopy,0,21,,,,,,,
Bg1,Y1-2-C-C,low_backslope,canopy,21,38,,,,,,,
Bg2,Y1-2-C-C,low_backslope,canopy,38,41,,,,,,,
Bg3,Y1-2-C-C,low_backslope,canopy,41,45,,,,,,,
Oi,Y1-2-O-A,low_backslope,open,0,23,,,,,,,
Bg1,Y1-2-O-A,low_backslope,open,23,35,,,,,,,
Bg2,Y1-2-O-A,low_backslope,open,35,39,,,,,,,
Bg3,Y1-2-O-A,low_backslope,open,39,42,,,,,,,
Oi,Y1-2-O-B,low_backslope,open,0,29,,,,,,,
Bg1,Y1-2-O-B,low_backslope,open,29,40,,,,,,,
Bg2,Y1-2-O-B,low_backslope,open,40,44,,,,,,,
Bg3,Y1-2-O-B,low_backslope,open,44,48,,,,,,,
Oi,Y1-2-O-C,low_backslope,open,0,21,,,,,,,
Oe,Y1-2-O-C,low_backslope,open,21,30,,,,,,,
Bg1,Y1-2-O-C,low_backslope,open,30,43,,,,,,,
Bg2,Y1-2-O-C,low_backslope,open,43,48,,,,,,,
Oi,Y1-3-C-A,backslope,canopy,0,26,,,,,,,
Bg1,Y1-3-C-A,backslope,canopy,26,49,,,,,,,
Bg2,Y1-3-C-A,backslope,canopy,49,59,,,,,,,
Oi,Y1-3-C-B,backslope,canopy,0,28,,,,,,,
Bg1,Y1-3-C-B,backslope,canopy,28,50,,,,,,,
Bg2,Y1-3-C-B,backslope,canopy,50,60,,,,,,,
Oi,Y1-3-C-C,backslope,canopy,0,22,,,,,,,
Bg1,Y1-3-C-C,backslope,canopy,22,44,,,,,,,
Bg2,Y1-3-C-C,backslope,canopy,44,54,,,,,,,
Oi1,Y1-3-O-A,backslope,open,0,11,,,,,,,
Oi2,Y1-3-O-A,backslope,open,11,19,,,,,,,
Bg1,Y1-3-O-A,backslope,open,19,46,,,,,,,
Bg2,Y1-3-O-A,backslope,open,46,56,,,,,,,
Oi1,Y1-3-O-B,backslope,open,0,12,,,,,,,
Oi2,Y1-3-O-B,backslope,open,12,16,,,,,,,
Bg1,Y1-3-O-B,backslope,open,16,36,,,,,,,
Bg2,Y1-3-O-B,backslope,open,36,48,,,,,,,
Bg3,Y1-3-O-B,backslope,open,48,53,,,,,,,
Bg4,Y1-3-O-B,backslope,open,53,57,,,,,,,
Oi1,Y1-3-O-C,backslope,open,0,9,,,,,,,
Oi2,Y1-3-O-C,backslope,open,9,19,,,,,,,
Bg1,Y1-3-O-C,backslope,open,19,30,,,,,,,
Bg2,Y1-3-O-C,backslope,open,30,42,,,,,,,
Bg3,Y1-3-O-C,backslope,open,42,60,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
