sample,quartz,quartz_stdev,albite,albite_stdev,anorthite,anorthite_stdev,microcline,microcline_stdev,chlorite,chlorite_stdev,mica,mica_stdev,hornblende,hornblend_stdev,ankerite,ankerite_stdev,rwp,feldspar_decimal
Y143 LDA-Bg1,4.17E+01,3.73E-01,1.52E+01,3.80E-01,1.45E+01,4.32E-01,7.51E+00,3.00E-01,5.82E+00,2.44E-01,9.97E+00,2.71E-01,4.96E+00,2.41E-01,3.49E-01,9.65E-02,8.99E+00,0.37
Y144 LOA-Bg2,4.18E+01,3.80E-01,1.44E+01,3.82E-01,1.66E+01,4.29E-01,6.40E+00,3.01E-01,6.57E+00,2.49E-01,8.27E+00,2.94E-01,5.40E+00,2.43E-01,4.81E-01,1.14E-01,9.00E+00,0.37
Y145 LOA-Bg3,4.08E+01,3.61E-01,1.50E+01,3.77E-01,1.90E+01,4.29E-01,3.55E+00,2.48E-01,6.47E+00,2.44E-01,1.04E+01,2.92E-01,3.87E+00,2.20E-01,9.09E-01,1.09E-01,9.19E+00,0.38
Y147 LOB-Bg1,4.19E+01,3.79E-01,1.54E+01,3.82E-01,1.53E+01,4.28E-01,7.47E+00,2.88E-01,5.70E+00,2.53E-01,1.02E+01,3.07E-01,3.97E+00,2.46E-01,1.66E-01,9.34E-02,7.72E+00,0.38
Y148 LOB-Bg2,3.91E+01,3.76E-01,1.49E+01,4.05E-01,1.79E+01,4.52E-01,5.22E+00,3.09E-01,6.70E+00,2.56E-01,1.06E+01,3.12E-01,5.17E+00,2.59E-01,4.28E-01,1.02E-01,9.30E+00,0.38
Y149 LOB-Bg3,4.34E+01,4.11E-01,1.44E+01,4.14E-01,1.89E+01,4.62E-01,1.50E+00,2.13E-01,6.25E+00,2.72E-01,9.89E+00,3.20E-01,5.14E+00,2.66E-01,5.85E-01,1.03E-01,9.80E+00,0.35
Y152 LOC-Bg1,4.27E+01,4.25E-01,1.31E+01,4.16E-01,1.40E+01,4.72E-01,6.52E+00,3.26E-01,7.30E+00,2.80E-01,1.11E+01,3.36E-01,4.36E+00,2.70E-01,7.97E-01,1.28E-01,9.35E+00,0.34
Y153 LDC-Bg2,4.56E+01,3.89E-01,1.55E+01,3.75E-01,1.68E+01,4.26E-01,1.15E+00,1.76E-01,4.81E+00,2.43E-01,1.04E+01,2.83E-01,5.01E+00,2.40E-01,6.44E-01,1.08E-01,9.33E+00,0.33
Y155 BCA-Bg1,4.26E+01,4.07E-01,1.67E+01,4.17E-01,1.42E+01,4.75E-01,3.72E+00,2.29E-01,6.66E+00,2.65E-01,1.06E+01,3.15E-01,4.07E+00,2.64E-01,1.46E+00,1.24E-01,1.03E+01,0.35
Y158 BCB-Bg1,4.69E+01,4.44E-01,1.40E+01,4.01E-01,1.47E+01,4.55E-01,4.84E+00,3.24E-01,6.63E+00,2.74E-01,8.28E+00,3.07E-01,4.34E+00,2.58E-01,2.54E-01,9.96E-02,9.57E+00,0.34
Y161 BCC-Bg1,4.85E+01,5.28E-01,1.47E+01,4.89E-01,1.56E+01,5.53E-01,1.89E+00,2.28E-01,4.33E+00,3.00E-01,1.03E+01,3.59E-01,3.87E+00,3.09E-01,8.05E-01,1.37E-01,1.20E+01,0.32
Y165 BOA-Bg1,4.32E+01,4.15E-01,1.36E+01,4.08E-01,1.54E+01,4.61E-01,7.59E+00,3.22E-01,6.84E+00,2.66E-01,9.45E+00,3.03E-01,3.27E+00,2.64E-01,6.61E-01,1.01E-01,9.33E+00,0.37
Y170 BOB-Bg2,4.77E+01,5.12E-01,1.40E+01,4.85E-01,2.04E+01,5.33E-01,7.59E-01,2.31E-01,4.35E+00,2.97E-01,8.37E+00,3.42E-01,3.54E+00,3.02E-01,8.41E-01,1.37E-01,1.18E+01,0.35
Y171 BOB-Bg3,4.00E+01,3.56E-01,1.60E+01,3.77E-01,1.44E+01,4.26E-01,7.62E+00,2.92E-01,5.35E+00,2.36E-01,1.12E+01,2.90E-01,5.00E+00,2.28E-01,4.68E-01,9.44E-02,8.76E+00,0.38
Y172 BoB-Bg4,3.78E+01,3.52E-01,1.64E+01,3.92E-01,1.56E+01,4.36E-01,5.51E+00,3.00E-01,6.79E+00,2.50E-01,1.09E+01,3.06E-01,6.59E+00,2.42E-01,4.03E-01,9.54E-02,8.49E+00,0.37
Y177 BOD-Bg2,4.49E+01,4.63E-01,1.67E+01,4.58E-01,1.77E+01,5.11E-01,2.58E+00,2.46E-01,4.65E+00,2.82E-01,8.48E+00,3.38E-01,4.42E+00,2.81E-01,5.32E-01,1.22E-01,1.09E+01,0.37
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
