Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Bog_01_CHCl3,Bog_02_CHCl3,Bog_03_CHCl3,Bog_04_CHCl3,Bog_05_CHCl3,Bog_06_CHCl3,Bog_07_CHCl3,Bog_08_CHCl3,Bog_09_CHCl3,Bog_10_CHCl3,Bog_11_CHCl3,Bog_12_CHCl3,Bog_13_CHCl3,Bog_14_CHCl3,Bog_15_CHCl3,Bog_16_CHCl3,Bog_18_CHCl3,Bog_19_CHCl3,Bog_21_CHCl3,FB_01_CHCl3,FB_02_CHCl3,FB_03_CHCl3,FB_04_CHCl3,LC_01_CHCl3,LC_02_CHCl3
106.041708,0,0,0,0,0,0,0,0,,None,107.04898446688,0,0,0,0,1025120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.056445,0,0,0,0,0,0,0,0,,None,107.06372146688,0,0,0,1071140.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.102381,0,0,0,0,0,0,0,0,,None,107.10965746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056266.5,0,0,0,0
106.108829,0,0,0,0,0,0,0,0,,None,107.11610546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029095.8,0,0
106.179203,0,0,0,0,0,0,0,0,,None,107.18647946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083430.6,0,0,0,0,0
106.30674,0,0,0,0,0,0,0,0,,None,107.31401646688,0,0,0,0,0,0,0,0,0,0,0,0,1034956.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.327631,0,0,0,0,0,0,0,0,,None,107.33490746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096173.6,0
106.474064,0,0,0,0,0,0,0,0,,None,107.48134046688,0,0,1029576.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.475262,0,0,0,0,0,0,0,0,,None,107.48253846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029787.1,0,0,0,0,0,0,0,0,0
106.557494,0,0,0,0,0,0,0,0,,None,107.56477046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027394.6,0,0,0,0,0,0,0,0,0,0,0
